tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,p1_games,p2_games,score,p_win
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Sock J.,71,100,692,545,1.61,2.2,7,12,3-6 4-6,1
Heineken Open,1/6/2014,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,15.46,Young D.,14.43,Young D.,54,96,826,563,3.25,1.33,7,13,5-7 2-6,1
Heineken Open,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Johnson S.,15.62,Johnson S.,20,160,1685,327,1.33,3.25,9,13,5-7 4-6,1
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,15.42,Querrey S.,15.32,Ramos A.,85,46,617,960,4.5,1.16,16,13,4-6 6-3 6-4,0
Apia International,1/7/2014,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,14.62,Tomic B.,15.39,Tomic B.,224,52,215,910,3.4,1.3,3,12,3-6 0-6,1
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Kavcic B.,15.02,Tomic B.,15.39,Tomic B.,102,52,542,910,4.5,1.18,13,16,3-6 6-4 4-6,1
Apia International,1/8/2014,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,15.46,Dolgopolov O.,15.44,Dolgopolov O.,21,55,1615,825,1.9,1.8,4,12,2-6 2-6,1
Apia International,1/9/2014,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,15.39,Dolgopolov O.,15.44,Tomic B.,52,55,910,825,2.0,1.72,12,7,6-4 6-3,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,15.1,Querrey S.,15.32,Querrey S.,69,51,703,915,3.0,1.36,17,22,3-6 2-6 6-3 6-7,1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,15.33,Johnson S.,15.62,Mannarino A.,71,147,692,378,2.2,1.61,26,20,3-6 6-3 6-0 5-7 6-4,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,15.85,Sousa J.,15.27,Thiem D.,136,50,422,925,2.0,1.72,24,20,5-7 6-4 6-3 7-6,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,15.21,Mayer F.,15.39,Mayer F.,113,37,497,1110,3.5,1.28,10,18,4-6 2-6 4-6,1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Vesely J.,15.37,Anderson K.,14.38,Anderson K.,83,21,636,1580,3.25,1.33,25,26,6-2 7-6 4-6 4-6 4-6,1
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,15.46,Thompson J.,15.16,Janowicz J.,20,319,1615,139,1.25,3.75,23,19,1-6 4-6 6-4 6-2 6-1,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,15.44,Berankis R.,15.07,Dolgopolov O.,56,128,825,433,1.33,3.25,20,12,7-5 7-5 6-2,0
Australian Open,1/13/2014,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,14.24,Lacko L.,15.16,Djokovic N.,2,96,12260,582,1.0,41.0,19,10,6-3 7-6 6-1,0
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,15.07,Pouille L.,15.32,Lajovic D.,117,193,483,262,1.4,2.75,23,19,6-4 7-6 4-6 6-3,0
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,15.0,Dimitrov G.,15.65,Dimitrov G.,93,22,592,1460,4.5,1.18,18,24,7-6 4-6 4-6 3-6,1
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,15.46,Rola B.,14.82,Rola B.,55,185,826,276,2.1,1.66,11,19,4-6 2-6 5-7,1
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,15.14,Sijsling I.,14.4,Kokkinakis T.,570,73,53,681,2.37,1.53,20,20,7-6 0-6 7-6 6-2,0
Australian Open,1/14/2014,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,14.62,Cilic M.,15.75,Cilic M.,222,36,215,1130,5.0,1.16,20,26,6-4 6-4 3-6 3-6 2-6,1
Australian Open,1/15/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Chardy J.,15.38,Dolgopolov O.,15.44,Chardy J.,31,56,1255,825,2.1,1.66,27,24,7-5 7-6 6-7 7-6,0
Australian Open,1/15/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,14.24,Mayer L.,15.39,Djokovic N.,2,98,12260,579,1.002,34.0,18,8,6-0 6-4 6-4,0
Australian Open,1/15/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Anderson K.,14.38,Thiem D.,15.85,Anderson K.,21,136,1580,422,1.44,2.62,18,11,6-4 6-3 6-4,0
Australian Open,1/15/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Ebden M.,14.9,Pospisil V.,15.71,Pospisil V.,67,30,711,1289,2.75,1.4,19,23,6-3 6-7 6-7 1-6,1
Australian Open,1/16/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,16.02,Lajovic D.,15.07,Nishikori K.,17,117,1915,483,1.07,9.0,19,8,6-1 6-1 7-6,0
Australian Open,1/16/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Klizan M.,14.76,Rola B.,14.82,Klizan M.,106,185,518,276,1.57,2.25,24,20,6-4 6-3 5-7 7-6,0
Australian Open,1/16/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,7.35,Cilic M.,15.75,Simon G.,19,36,1790,1130,3.5,1.28,29,22,4-6 7-6 6-7 6-1 6-2,0
Australian Open,1/16/2014,Grand Slam,Outdoor,Hard,2nd Round,5,Kyrgios N.,15.81,Paire B.,15.2,Paire B.,183,28,277,1300,2.87,1.38,22,30,7-6 7-6 4-6 2-6 2-6,1
Australian Open,1/17/2014,Grand Slam,Outdoor,Hard,3rd Round,5,Mayer F.,15.39,Janowicz J.,15.46,Mayer F.,37,20,1110,1615,1.5,2.5,19,9,7-5 6-2 6-2,0
Australian Open,1/17/2014,Grand Slam,Outdoor,Hard,3rd Round,5,Querrey S.,15.32,Fognini F.,15.37,Fognini F.,51,16,915,1930,1.5,2.5,13,19,5-7 4-6 4-6,1
Australian Open,1/18/2014,Grand Slam,Outdoor,Hard,3rd Round,5,Raonic M.,15.84,Dimitrov G.,15.65,Dimitrov G.,11,22,2860,1460,1.72,2.1,19,22,3-6 6-3 4-6 6-7,1
Australian Open,1/18/2014,Grand Slam,Outdoor,Hard,3rd Round,5,Young D.,14.43,Nishikori K.,16.02,Nishikori K.,91,17,595,1915,6.0,1.12,6,19,5-7 1-6 0-6,1
Australian Open,1/19/2014,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,14.24,Fognini F.,15.37,Djokovic N.,2,16,12260,1930,1.01,26.0,18,5,6-3 6-0 6-2,0
Open Sud de France,2/4/2014,ATP250,Indoor,Hard,1st Round,3,De Schepper K.,15.13,Olivetti A.,14.57,Olivetti A.,82,249,652,186,1.61,2.2,16,17,6-4 6-7 4-6,1
Open Sud de France,2/6/2014,ATP250,Indoor,Hard,2nd Round,3,Davydenko N.,14.44,Olivetti A.,14.57,Olivetti A.,60,249,760,186,1.36,3.0,18,20,6-7 7-6 5-7,1
Open Sud de France,2/6/2014,ATP250,Indoor,Hard,2nd Round,3,Mannarino A.,15.33,Janowicz J.,15.46,Janowicz J.,72,21,702,1615,2.87,1.38,9,13,6-7 3-6,1
Royal Guard Open Chile,2/4/2014,ATP250,Outdoor,Clay,1st Round,3,Daniel T.,14.9,Bellucci T.,11.24,Daniel T.,226,125,213,450,4.33,1.2,12,6,6-3 6-3,0
Royal Guard Open Chile,2/6/2014,ATP250,Outdoor,Clay,1st Round,3,Chardy J.,15.38,Garin C.,15.25,Chardy J.,44,379,985,106,1.16,5.0,13,5,7-5 6-0,0
Royal Guard Open Chile,2/5/2014,ATP250,Outdoor,Clay,2nd Round,3,Granollers M.,14.62,Giraldo S.,15.1,Giraldo S.,225,71,214,703,1.8,1.9,12,14,6-7 6-7,1
Royal Guard Open Chile,2/6/2014,ATP250,Outdoor,Clay,2nd Round,3,Delbonis F.,15.46,Daniel T.,14.9,Daniel T.,61,226,756,213,1.3,3.4,18,15,6-1 6-7 6-7,1
Royal Guard Open Chile,2/6/2014,ATP250,Outdoor,Clay,2nd Round,3,Fognini F.,15.37,Bedene A.,15.43,Fognini F.,15,109,2100,528,1.18,4.5,13,10,6-4 7-6,0
Royal Guard Open Chile,2/7/2014,ATP250,Outdoor,Clay,Quarterfinals,3,Chardy J.,15.38,Fognini F.,15.37,Fognini F.,44,15,985,2100,3.0,1.36,12,15,4-6 6-3 2-6,1
Royal Guard Open Chile,2/8/2014,ATP250,Outdoor,Clay,Semifinals,3,Giraldo S.,15.1,Mayer L.,15.39,Mayer L.,71,91,703,614,2.1,1.72,9,13,6-7 3-6,1
Royal Guard Open Chile,2/9/2014,ATP250,Outdoor,Clay,The Final,3,Mayer L.,15.39,Fognini F.,15.37,Fognini F.,91,15,614,2100,4.33,1.22,6,12,2-6 4-6,1
PBZ Zagreb Indoors,2/3/2014,ATP250,Indoor,Hard,1st Round,3,Cilic M.,15.75,Delic M.,14.48,Cilic M.,37,370,1085,110,1.03,15.0,12,8,6-4 6-4,0
PBZ Zagreb Indoors,2/4/2014,ATP250,Indoor,Hard,1st Round,3,Lajovic D.,15.07,Krstin P.,14.51,Lajovic D.,101,373,547,109,1.4,2.75,12,5,6-2 6-3,0
PBZ Zagreb Indoors,2/5/2014,ATP250,Indoor,Hard,1st Round,3,Kavcic B.,15.02,Sijsling I.,14.4,Sijsling I.,112,63,514,740,2.5,1.5,14,18,7-6 3-6 4-6,1
PBZ Zagreb Indoors,2/5/2014,ATP250,Indoor,Hard,2nd Round,3,Cilic M.,15.75,Lajovic D.,15.07,Cilic M.,37,101,1085,547,1.1,7.0,13,9,6-4 7-5,0
PBZ Zagreb Indoors,2/6/2014,ATP250,Indoor,Hard,2nd Round,3,Lacko L.,15.16,Sela D.,9.56,Sela D.,102,78,547,671,1.8,1.9,5,12,3-6 2-6,1
Copa Claro,2/10/2014,ATP250,Outdoor,Clay,1st Round,3,Bedene A.,15.43,Granollers M.,14.62,Granollers M.,103,231,548,211,2.37,1.53,13,16,5-7 6-3 2-6,1
Copa Claro,2/11/2014,ATP250,Outdoor,Clay,1st Round,3,Mayer L.,15.39,Arguello F.,14.87,Mayer L.,58,112,764,500,1.5,2.5,12,7,6-3 6-4,0
Copa Claro,2/12/2014,ATP250,Outdoor,Clay,1st Round,3,Gonzalez A.,10.06,Chardy J.,15.38,Chardy J.,78,45,676,940,4.5,1.18,9,13,4-6 5-7,1
Copa Claro,2/12/2014,ATP250,Outdoor,Clay,2nd Round,3,Mayer L.,15.39,Fognini F.,15.37,Fognini F.,58,14,764,2260,4.0,1.22,12,18,7-6 3-6 2-6,1
Copa Claro,2/13/2014,ATP250,Outdoor,Clay,2nd Round,3,Dolgopolov O.,15.44,Chardy J.,15.38,Chardy J.,53,45,860,940,2.25,1.57,15,16,3-6 6-3 6-7,1
U.S. National Indoor Tennis Championships,2/11/2014,ATP250,Indoor,Hard,1st Round,3,Kyrgios N.,15.81,Smyczek T.,15.06,Smyczek T.,171,102,303,549,2.0,1.72,14,18,7-6 4-6 3-6,1
U.S. National Indoor Tennis Championships,2/11/2014,ATP250,Indoor,Hard,1st Round,3,Sock J.,15.48,Mannarino A.,15.33,Sock J.,85,71,617,714,1.53,2.37,15,17,7-5 1-6 7-6,0
U.S. National Indoor Tennis Championships,2/12/2014,ATP250,Indoor,Hard,1st Round,3,Kudla D.,15.21,Young D.,14.43,Kudla D.,106,79,524,673,2.5,1.5,12,2,6-1 6-1,0
U.S. National Indoor Tennis Championships,2/12/2014,ATP250,Indoor,Hard,2nd Round,3,Sock J.,15.48,Vesely J.,15.37,Sock J.,85,81,617,655,1.9,1.8,12,3,6-2 6-1,0
ABN AMRO World Tennis Tournament,2/13/2014,ATP500,Indoor,Hard,2nd Round,3,Thiem D.,15.85,Murray A.,16.13,Murray A.,113,6,492,4795,11.0,1.05,13,15,4-6 6-3 3-6,1
ABN AMRO World Tennis Tournament,2/14/2014,ATP500,Indoor,Hard,Quarterfinals,3,Murray A.,16.13,Cilic M.,15.75,Cilic M.,6,37,4795,1085,1.5,2.5,7,12,3-6 4-6,1
ABN AMRO World Tennis Tournament,2/15/2014,ATP500,Indoor,Hard,Semifinals,3,Cilic M.,15.75,Sijsling I.,14.4,Cilic M.,37,64,1085,740,1.33,3.4,17,12,5-7 6-3 6-2,0
Delray Beach Open,2/17/2014,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Mannarino A.,70,82,714,652,2.62,1.44,12,6,6-4 6-2,0
Delray Beach Open,2/18/2014,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,14.38,Smyczek T.,15.06,Anderson K.,21,105,1580,537,1.28,3.5,16,10,4-6 6-1 6-3,0
Delray Beach Open,2/18/2014,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,15.62,Kukushkin M.,15.52,Johnson S.,142,58,390,781,1.57,2.25,12,7,6-4 6-3,0
Delray Beach Open,2/18/2014,ATP250,Outdoor,Hard,1st Round,3,Elias G.,15.41,Nishikori K.,16.02,Nishikori K.,169,15,302,2170,10.0,1.06,10,17,1-6 7-5 2-6,1
Delray Beach Open,2/20/2014,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,15.75,Harrison R.,14.29,Cilic M.,29,115,1295,484,1.14,5.5,12,7,6-3 6-4,0
Delray Beach Open,2/22/2014,ATP250,Outdoor,Hard,Semifinals,3,Johnson S.,15.62,Anderson K.,14.38,Anderson K.,142,21,390,1580,2.5,1.53,6,12,2-6 4-6,1
Delray Beach Open,2/23/2014,ATP250,Outdoor,Hard,The Final,3,Anderson K.,14.38,Cilic M.,15.75,Cilic M.,21,29,1580,1295,3.5,1.3,17,19,6-7 7-6 4-6,1
Open 13,2/17/2014,ATP250,Indoor,Hard,1st Round,3,Kavcic B.,15.02,Kokkinakis T.,15.14,Kavcic B.,116,397,484,98,1.4,2.75,12,6,6-4 6-2,0
Open 13,2/18/2014,ATP250,Indoor,Hard,1st Round,3,Sijsling I.,14.4,Davydenko N.,14.44,Davydenko N.,52,63,875,735,1.57,2.25,8,12,4-6 4-6,1
Rio Open,2/17/2014,ATP500,Outdoor,Clay,1st Round,3,Souza J.,9.18,Bagnis F.,15.59,Bagnis F.,123,125,458,456,1.72,2.0,13,15,5-7 6-2 2-6,1
Rio Open,2/18/2014,ATP500,Outdoor,Clay,1st Round,3,Bellucci T.,11.24,Giraldo S.,15.1,Bellucci T.,130,60,442,773,2.0,1.72,15,13,3-6 6-4 6-3,0
Rio Open,2/18/2014,ATP500,Outdoor,Clay,1st Round,3,Clezar G.,15.06,Delbonis F.,15.46,Delbonis F.,163,61,326,744,3.0,1.36,2,12,1-6 1-6,1
Rio Open,2/18/2014,ATP500,Outdoor,Clay,1st Round,3,Ramos A.,15.42,Mayer L.,15.39,Ramos A.,87,59,623,775,2.2,1.61,12,2,6-2 6-0,0
Rio Open,2/18/2014,ATP500,Outdoor,Clay,1st Round,3,Granollers M.,14.62,Sousa J.,15.27,Sousa J.,230,48,216,907,1.53,2.37,14,15,6-2 3-6 5-7,1
Rio Open,2/18/2014,ATP500,Outdoor,Clay,1st Round,3,Bedene A.,15.43,Fognini F.,15.37,Fognini F.,103,14,548,2260,4.33,1.2,13,13,6-7 6-0 1-6,1
Rio Open,2/20/2014,ATP500,Outdoor,Clay,2nd Round,3,Dolgopolov O.,15.44,Bagnis F.,15.59,Dolgopolov O.,54,125,860,456,1.2,4.33,19,15,6-7 6-2 7-6,0
Rio Open,2/21/2014,ATP500,Outdoor,Clay,2nd Round,3,Ramos A.,15.42,Sousa J.,15.27,Sousa J.,87,48,623,907,1.36,3.0,15,15,6-7 6-2 3-6,1
Rio Open,2/21/2014,ATP500,Outdoor,Clay,Quarterfinals,3,Dolgopolov O.,15.44,Fognini F.,15.37,Dolgopolov O.,54,14,860,2260,2.37,1.57,12,2,6-1 6-1,0
Abierto Mexicano,2/25/2014,ATP500,Outdoor,Hard,1st Round,3,Chardy J.,15.38,Ebden M.,14.9,Chardy J.,46,62,940,741,1.36,3.0,13,5,7-5 6-0,0
Abierto Mexicano,2/25/2014,ATP500,Outdoor,Hard,1st Round,3,Hank T.,13.73,Querrey S.,15.32,Querrey S.,646,56,39,800,17.0,1.02,14,18,7-6 4-6 3-6,1
Abierto Mexicano,2/25/2014,ATP500,Outdoor,Hard,1st Round,3,Sousa J.,15.27,Mannarino A.,15.33,Sousa J.,44,67,991,726,2.0,1.72,13,10,1-6 6-2 6-2,0
Abierto Mexicano,2/26/2014,ATP500,Outdoor,Hard,1st Round,3,Dolgopolov O.,15.44,Pospisil V.,15.71,Dolgopolov O.,38,27,1070,1359,1.66,2.1,12,4,6-2 6-2,0
Abierto Mexicano,2/26/2014,ATP500,Outdoor,Hard,1st Round,3,Smyczek T.,15.06,Simon G.,7.35,Simon G.,105,23,537,1485,3.0,1.36,3,12,1-6 2-6,1
Abierto Mexicano,2/26/2014,ATP500,Outdoor,Hard,2nd Round,3,Chardy J.,15.38,Dolgopolov O.,15.44,Dolgopolov O.,46,38,940,1070,2.25,1.57,7,12,3-6 4-6,1
Abierto Mexicano,2/26/2014,ATP500,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Querrey S.,15.32,Anderson K.,21,56,1685,800,1.5,2.5,13,10,7-6 6-4,0
Abierto Mexicano,2/26/2014,ATP500,Outdoor,Hard,2nd Round,3,Young D.,14.43,Simon G.,7.35,Simon G.,91,23,602,1485,3.75,1.25,7,12,4-6 3-6,1
Abierto Mexicano,2/27/2014,ATP500,Outdoor,Hard,2nd Round,3,Murray A.,16.13,Sousa J.,15.27,Murray A.,7,44,4795,991,1.05,11.0,12,7,6-3 6-4,0
Abierto Mexicano,2/28/2014,ATP500,Outdoor,Hard,Quarterfinals,3,Murray A.,16.13,Simon G.,7.35,Murray A.,7,23,4795,1485,1.14,5.5,14,14,1-6 7-6 6-2,0
Abierto Mexicano,3/1/2014,ATP500,Outdoor,Hard,Semifinals,3,Anderson K.,14.38,Dolgopolov O.,15.44,Anderson K.,21,38,1685,1070,2.75,1.44,17,12,6-1 5-7 6-4,0
Abierto Mexicano,3/1/2014,ATP500,Outdoor,Hard,Semifinals,3,Murray A.,16.13,Dimitrov G.,15.65,Dimitrov G.,7,22,4795,1675,1.44,2.75,18,18,6-4 6-7 6-7,1
Abierto Mexicano,3/2/2014,ATP500,Outdoor,Hard,The Final,3,Dimitrov G.,15.65,Anderson K.,14.38,Dimitrov G.,22,21,1675,1685,1.44,2.75,17,18,7-6 3-6 7-6,0
Dubai Tennis Championships,2/25/2014,ATP500,Outdoor,Hard,1st Round,3,Davydenko N.,14.44,Golubev A.,3.94,Davydenko N.,63,72,735,705,1.5,2.5,13,10,7-6 6-4,0
Brasil Open,2/24/2014,ATP250,Indoor,Clay,1st Round,3,Mayer L.,15.39,Pella G.,15.56,Pella G.,59,113,764,513,1.53,2.37,19,20,6-7 7-6 6-7,1
Brasil Open,2/24/2014,ATP250,Indoor,Clay,1st Round,3,Souza J.,9.18,Haase R.,15.06,Souza J.,129,45,458,957,2.87,1.38,13,9,7-5 6-4,0
Brasil Open,2/25/2014,ATP250,Indoor,Clay,1st Round,3,Clezar G.,15.06,Klizan M.,14.76,Klizan M.,166,97,321,579,2.75,1.4,7,12,4-6 3-6,1
Brasil Open,2/25/2014,ATP250,Indoor,Clay,1st Round,3,Giraldo S.,15.1,Bellucci T.,11.24,Bellucci T.,58,108,773,532,2.5,1.5,14,17,6-4 5-7 3-6,1
Brasil Open,2/25/2014,ATP250,Indoor,Clay,1st Round,3,Ramos A.,15.42,Elias G.,15.41,Ramos A.,86,169,623,302,1.36,3.0,15,11,6-3 3-6 6-2,0
Brasil Open,2/27/2014,ATP250,Indoor,Clay,2nd Round,3,Klizan M.,14.76,Granollers M.,14.62,Klizan M.,97,229,579,216,2.0,1.72,12,7,6-4 6-3,0
Brasil Open,3/1/2014,ATP250,Indoor,Clay,Quarterfinals,3,Klizan M.,14.76,Bellucci T.,11.24,Bellucci T.,97,108,579,532,2.25,1.57,6,12,3-6 3-6,1
Brasil Open,3/1/2014,ATP250,Indoor,Clay,Semifinals,3,Delbonis F.,15.46,Bellucci T.,11.24,Delbonis F.,61,108,744,532,1.72,2.1,18,15,6-4 6-7 6-4,0
BNP Paribas Open,3/6/2014,Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,15.48,Smyczek T.,15.06,Smyczek T.,102,105,562,545,1.57,2.25,14,13,4-6 6-1 4-6,1
BNP Paribas Open,3/6/2014,Masters 1000,Outdoor,Hard,1st Round,3,Vesely J.,15.37,Sijsling I.,14.4,Vesely J.,77,55,667,846,2.62,1.44,16,16,3-6 6-4 7-6,0
BNP Paribas Open,3/7/2014,Masters 1000,Outdoor,Hard,1st Round,3,Golubev A.,3.94,Harrison R.,14.29,Harrison R.,70,117,705,496,2.25,1.57,9,13,4-6 5-7,1
BNP Paribas Open,3/7/2014,Masters 1000,Outdoor,Hard,1st Round,3,Sousa J.,15.27,Nedovyesov A.,14.39,Sousa J.,45,79,991,661,1.4,2.75,12,5,6-4 6-1,0
BNP Paribas Open,3/7/2014,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Gonzalez A.,10.06,Gonzalez A.,66,91,726,602,1.36,3.0,17,18,7-5 4-6 6-7,1
BNP Paribas Open,3/8/2014,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,15.79,Davydenko N.,14.44,Davydenko N.,95,73,587,690,2.62,1.44,18,18,6-7 6-4 6-7,1
BNP Paribas Open,3/8/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Dolgopolov O.,15.44,Smyczek T.,15.06,Dolgopolov O.,31,105,1205,545,1.16,5.0,13,10,7-6 6-4,0
BNP Paribas Open,3/9/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,15.37,Harrison R.,14.29,Fognini F.,14,117,2230,496,1.4,2.75,17,12,5-7 6-1 6-4,0
BNP Paribas Open,3/9/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Giraldo S.,15.1,Nishikori K.,16.02,Nishikori K.,71,21,703,1715,4.0,1.22,4,12,1-6 3-6,1
BNP Paribas Open,3/9/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Pospisil V.,15.71,Kukushkin M.,15.52,Kukushkin M.,27,58,1359,781,1.72,2.0,2,12,0-6 2-6,1
BNP Paribas Open,3/9/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,7.35,Thiem D.,15.85,Thiem D.,23,101,1565,567,1.5,2.5,8,13,6-7 2-6,1
BNP Paribas Open,3/10/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,15.65,Haase R.,15.06,Dimitrov G.,16,46,2130,957,1.11,6.5,12,7,6-4 6-3,0
BNP Paribas Open,3/10/2014,Masters 1000,Outdoor,Hard,3rd Round,3,Murray A.,16.13,Vesely J.,15.37,Murray A.,6,77,4885,667,1.07,9.0,18,15,6-7 6-4 6-4,0
BNP Paribas Open,3/11/2014,Masters 1000,Outdoor,Hard,3rd Round,3,Donskoy E.,15.13,Anderson K.,14.38,Anderson K.,114,18,505,1940,5.0,1.16,9,16,6-4 0-6 3-6,1
BNP Paribas Open,3/11/2014,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,14.24,Gonzalez A.,10.06,Djokovic N.,2,91,10260,602,1.01,26.0,15,8,6-1 3-6 6-1,0
BNP Paribas Open,3/12/2014,Masters 1000,Outdoor,Hard,4th Round,3,Dolgopolov O.,15.44,Fognini F.,15.37,Dolgopolov O.,31,14,1205,2230,1.44,2.62,12,6,6-2 6-4,0
BNP Paribas Open,3/12/2014,Masters 1000,Outdoor,Hard,4th Round,3,Murray A.,16.13,Raonic M.,15.84,Raonic M.,6,11,4885,2485,1.66,2.1,14,17,6-4 5-7 3-6,1
BNP Paribas Open,3/13/2014,Masters 1000,Outdoor,Hard,4th Round,3,Cilic M.,15.75,Djokovic N.,14.24,Djokovic N.,26,2,1455,10260,5.5,1.14,11,13,6-1 2-6 3-6,1
BNP Paribas Open,3/13/2014,Masters 1000,Outdoor,Hard,Quarterfinals,3,Dolgopolov O.,15.44,Raonic M.,15.84,Dolgopolov O.,31,11,1205,2485,2.1,1.72,12,7,6-3 6-4,0
Sony Ericsson Open,3/19/2014,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Davydenko N.,14.44,Mannarino A.,80,71,656,690,3.0,1.36,13,9,6-4 7-5,0
Sony Ericsson Open,3/20/2014,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,15.56,Sock J.,15.48,Sock J.,113,103,509,562,3.4,1.3,7,12,3-6 4-6,1
Sony Ericsson Open,3/20/2014,Masters 1000,Outdoor,Hard,1st Round,3,Bedene A.,15.43,Wang J.,14.45,Bedene A.,119,145,493,393,1.53,2.37,13,12,1-6 6-2 6-4,0
Sony Ericsson Open,3/20/2014,Masters 1000,Outdoor,Hard,1st Round,3,De Schepper K.,15.13,Lacko L.,15.16,Lacko L.,66,105,712,562,2.75,1.4,8,12,4-6 4-6,1
Sony Ericsson Open,3/20/2014,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,14.29,Delbonis F.,15.46,Harrison R.,112,45,509,999,1.36,3.0,12,6,6-2 6-4,0
Sony Ericsson Open,3/21/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,14.24,Chardy J.,15.38,Djokovic N.,2,48,10900,955,1.02,17.0,12,7,6-4 6-3,0
Sony Ericsson Open,3/22/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Ebden M.,14.9,Murray A.,16.13,Murray A.,67,6,710,4795,9.0,1.07,7,15,6-3 0-6 1-6,1
Sony Ericsson Open,3/22/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Sousa J.,15.27,Simon G.,7.35,Sousa J.,42,27,1010,1485,3.0,1.36,16,15,7-6 3-6 6-3,0
Sony Ericsson Open,3/22/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Pospisil V.,15.71,Bedene A.,15.43,Bedene A.,28,119,1343,493,2.0,1.72,15,19,7-6 5-7 3-6,1
Sony Ericsson Open,3/22/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Lacko L.,15.16,Fognini F.,15.37,Fognini F.,105,14,562,2295,3.25,1.33,8,12,4-6 4-6,1
Sony Ericsson Open,3/22/2014,Masters 1000,Outdoor,Hard,2nd Round,3,Raonic M.,15.84,Sock J.,15.48,Raonic M.,12,103,2575,562,1.22,4.0,13,10,6-4 7-6,0
Sony Ericsson Open,3/23/2014,Masters 1000,Outdoor,Hard,3rd Round,3,Dimitrov G.,15.65,Nishikori K.,16.02,Nishikori K.,16,21,2130,1715,1.72,2.0,11,14,6-7 5-7,1
Sony Ericsson Open,3/24/2014,Masters 1000,Outdoor,Hard,3rd Round,3,Dolgopolov O.,15.44,Lajovic D.,15.07,Dolgopolov O.,23,89,1555,614,1.11,6.5,16,12,3-6 6-0 7-6,0
Sony Ericsson Open,3/26/2014,Masters 1000,Outdoor,Hard,Quarterfinals,3,Murray A.,16.13,Djokovic N.,14.24,Djokovic N.,6,2,4795,10900,3.75,1.28,8,13,5-7 3-6,1
